id,name,role,specialty,model,mission,profile,modes,tools,skills,capabilities,preferredTaskTypes,greenlightRequiredFor,maxConcurrentTasks,acceptsBroadcast,plugins,pluginToolsets,mcpServers,wrapper
root-cause-analyst,Root Cause Analyst,Custom,Failure diagnosis and causal analysis,claude-sonnet-4-6,"Diagnose why something failed using evidence from logs, symptoms, history, and system behavior. Separate diagnosis from remediation. Do not patch blindly.",root-cause-analyst,task,terminal|file|web_search|web_extract,swarm-worker-core|root-cause-analyst-core|systematic-debugging|incident-commander|prism-full|prism-scan|prism-3way|hermes-vps-health-check|hermes-heartbeat|debug-hermes-fallback|webapp-testing|mcp-builder|meeting-insights-analyzer|composio-langsmith-fetch|code-review-coderabbit|pm-ab-testing|error-diagnostics|incident-response,implementation,implementation|analysis,merge|push|destructive,1,true,,,,root-cause-analyst:task
telemetry-curator,Telemetry Curator,Custom,Observability synthesis and signal extraction,glm-5.1,"Convert logs, traces, metrics, and runtime noise into concise, decision-grade operating context for the rest of the workforce.",telemetry-curator,task,terminal|file|web_search|web_extract,swarm-worker-core|telemetry-curator-core|skill-analytics|hermes-heartbeat|hermes-vps-health-check|cost-report|skill-health|incident-commander|workflow-security-audit|mcp-builder|skill-creator|file-organizer|changelog-generator|gtm-metrics|pm-create-prd|observability-slo|error-diagnostics,implementation,implementation|analysis,merge|push|destructive,1,true,,,,telemetry-curator:task
runbook-librarian,Runbook Librarian,Custom,SOP retrieval and procedural memory,gpt-5.4,"Find, maintain, and improve runbooks, SOPs, checklists, and operational playbooks so other agents can act consistently.",runbook-librarian,task,terminal|file|web_search|web_extract,swarm-worker-core|runbook-librarian-core|obsidian|llm-wiki|memory-merger|protocol-handbook-authoring|litprog-skill|document-converter|ocr-and-documents|hermes-backup|internal-comms-anthropic|anthropic-doc-coauthoring|file-organizer|content-research-writer|pm-user-story|hand-drawn-diagrams,implementation,implementation|analysis,merge|push|destructive,1,true,,,,runbook-librarian:task
security-gatekeeper,Security Gatekeeper,Custom,"Risk review, secrets, permissions, safety bounds",claude-sonnet-4-6,"Review changes and workflows for security risk, over-privilege, secret exposure, unsafe commands, and compliance concerns.",security-gatekeeper,task,terminal|file|web_search|web_extract,swarm-worker-core|security-gatekeeper-core|security-guard|skill-security-scan|workflow-security-audit|vuln-scanner|code-review|incident-commander|hermes-vps-health-check|systematic-debugging|mcp-builder|webapp-testing|composio-langsmith-fetch|meeting-insights-analyzer|code-review-coderabbit|code-autofix|security-compliance|threat-modeling|security-requirements|attack-tree|stride-analysis|gdpr-data,implementation,implementation|analysis,merge|push|destructive,1,true,,,,security-gatekeeper:task
docs-scribe,Docs Scribe,Custom,Human-readable technical documentation and operator notes,claude-sonnet-4-5,"Turn technical work into clear docs, READMEs, SOPs, changelogs, and operational reference material.",docs-scribe,task,terminal|file|web_search|web_extract,swarm-worker-core|docs-scribe-core|protocol-handbook-authoring|humanizer|output-formatting|litprog-skill|design-md|baoyu-infographic|document-converter|ocr-and-documents|powerpoint|canvas-design|anthropic-docx|content-research-writer|composio-artifacts-builder|hand-drawn-diagrams|pm-sales-enablement|ui-ux-pro-max|ui-ux-designer,implementation,implementation|analysis,merge|push|destructive,1,true,,,,docs-scribe:task
study-scope-coach,Study Scope Coach,Custom,Research scoping and problem framing,gpt-5.5,"Take vague questions and turn them into bounded research scopes with explicit objectives, exclusions, and validation criteria.",study-scope-coach,task,terminal|file|web_search|web_extract,swarm-worker-core|study-scope-coach-core|Deep Research|mimic-perplexity-deep-research|prism-discover|prism-scan|writing-plans|lean-startup|design-sprint|skill-creator|internal-comms-anthropic|content-research-writer|lead-research-assistant|pm-opportunity-solution-tree|pm-recommendation-canvas,implementation,implementation|analysis,merge|push|destructive,1,true,,,,study-scope-coach:task
research-planner,Top-Level Research Planner,Custom,Research decomposition and agentic inquiry planning,claude-opus-4-6,"Break complex research efforts into subquestions, evidence streams, and analysis paths for the research pod.",research-planner,task,terminal|file|web_search|web_extract,swarm-worker-core|research-planner-core|Deep Research|mimic-perplexity-deep-research|writing-plans|subagent-driven-development|plan|prism-discover|autoresearch|skill-creator|mcp-builder|content-research-writer|lead-research-assistant|pm-company-research|pm-competitor-profiling,implementation,implementation|analysis,merge|push|destructive,1,true,,,,research-planner:task
method-matchmaker,Method Matchmaker,Custom,Selecting the right research approach,gemini-3.1-pro,"Choose the right research methods for the problem, timeline, and available evidence.",method-matchmaker,task,terminal|file|web_search|web_extract,swarm-worker-core|method-matchmaker-core|Deep Research|prism-discover|prism-scan|prism-3way|design-sprint|lean-startup|continuous-discovery|skill-creator|internal-comms-anthropic|content-research-writer|domain-name-brainstormer|pm-customer-research|pm-ab-testing,implementation,implementation|analysis,merge|push|destructive,1,true,,,,method-matchmaker:task
deep-analyzer,Deep Analyzer,Custom,Pattern extraction and insight formation from evidence,gpt-5.5,"Analyze gathered material for patterns, implications, tensions, and decision-relevant insights.",deep-analyzer,task,terminal|file|web_search|web_extract,swarm-worker-core|deep-analyzer-core|Deep Research|prism-full|prism-scan|prism-3way|prism-reflect|autoresearch|protocol-handbook-authoring|skill-creator|internal-comms-anthropic|content-research-writer|lead-research-assistant|pm-company-research|pm-competitor-profiling,implementation,implementation|analysis,merge|push|destructive,1,true,,,,deep-analyzer:task
critique-agent,Judge / Critique Agent,Custom,"Rigor review, bias detection, incompleteness detection",claude-opus-4-7,"Critique research outputs for weak logic, missing evidence, hidden assumptions, and unearned certainty.",critique-agent,task,terminal|file|web_search|web_extract,swarm-worker-core|critique-agent-core|prism-full|prism-reflect|prism-3way|code-review|systematic-debugging|Deep Research|protocol-handbook-authoring|skill-creator|webapp-testing|content-research-writer|meeting-insights-analyzer|code-review-coderabbit|pm-recommendation-canvas,implementation,implementation|analysis,merge|push|destructive,1,true,,,,critique-agent:task
fact-checker,Fact Checker,Custom,Claim verification and source checking,gpt-5.4,"Validate key claims, numbers, dates, and factual statements before they propagate into decisions or documents.",fact-checker,task,terminal|file|web_search|web_extract,swarm-worker-core|fact-checker-core|Deep Research|polymarket|prism-scan|scrapling|arxiv|systematic-debugging|webapp-testing|internal-comms-anthropic|lead-research-assistant|content-research-writer|pm-company-research|pm-competitor-profiling,implementation,implementation|analysis,merge|push|destructive,1,true,,,,fact-checker:task
synth-agent,Knowledge Synthesizer,Custom,Multi-source synthesis and coherent consolidation,gemini-3.1-pro,Merge multiple streams of research or analysis into one coherent whole without duplication or contradiction.,synth-agent,task,terminal|file|web_search|web_extract,swarm-worker-core|synth-agent-core|Deep Research|protocol-handbook-authoring|prism-3way|humanizer|output-formatting|litprog-skill|llm-wiki|canvas-design|internal-comms-anthropic|content-research-writer|meeting-insights-analyzer|hand-drawn-diagrams|pm-value-proposition,implementation,implementation|analysis,merge|push|destructive,1,true,,,,synth-agent:task
business-alignment,Business Alignment Partner,Custom,Aligning research and initiatives to actual business value,gpt-5.5-pro,"Ensure that research, features, and new ideas tie back to business outcomes, leverage, and strategic fit.",business-alignment,task,terminal|file|web_search|web_extract,swarm-worker-core|business-alignment-core|startup-architect|blue-ocean-strategy|obviously-awesome|crossing-the-chasm|jobs-to-be-done|polymarket|goal-tracker|prism-3way|skill-creator|internal-comms-anthropic|lead-research-assistant|competitive-ads-extractor|pm-business-model|gtm-strategy,implementation,implementation|analysis,merge|push|destructive,1,true,,,,business-alignment:task
content-builder,Content Builder,Custom,"Turning validated knowledge into reports, docs, and assets",claude-sonnet-4-5,Build final deliverables from validated research or strategy outputs.,content-builder,task,terminal|file|web_search|web_extract,swarm-worker-core|content-builder-core|protocol-handbook-authoring|humanizer|made-to-stick|storybrand-messaging|baoyu-infographic|powerpoint|design-md|claude-design|output-formatting|canvas-design|anthropic-pptx|content-research-writer|composio-artifacts-builder|hand-drawn-diagrams|marketing-copywriting,implementation,implementation|analysis,merge|push|destructive,1,true,,,,content-builder:task
ideation-partner,Greenfield Ideation Partner,Custom,Net-new idea generation across business and product domains,claude-opus-4-7,"Generate strong new ideas at the intersection of Blake's skills, interests, pain points, and market gaps.",ideation-partner,task,terminal|file|web_search|web_extract,swarm-worker-core|ideation-partner-core|ideation|startup-architect|blue-ocean-strategy|prism-discover|prism-3way|polymarket|design-sprint|lean-startup|canvas-design|skill-creator|domain-name-brainstormer|lead-research-assistant|pm-opportunity-solution-tree|gtm-strategy,implementation,implementation|analysis,merge|push|destructive,1,true,,,,ideation-partner:task
idea-intake,Idea Intake & Clarifier,Custom,Structuring rough ideas into usable concept briefs,gpt-5.5,"Convert half-formed ideas into structured briefs with audience, problem, solution, constraints, and why-now framing.",idea-intake,task,terminal|file|web_search|web_extract,swarm-worker-core|idea-intake-core|ideation|jobs-to-be-done|mom-test|lean-startup|writing-plans|Idea Capture|obsidian|internal-comms-anthropic|skill-creator|meeting-insights-analyzer|content-research-writer|pm-product-sense|pm-proto-persona,implementation,implementation|analysis,merge|push|destructive,1,true,,,,idea-intake:task
opportunity-mapper,Opportunity Mapper,Custom,Market mapping and adjacent opportunity expansion,gemini-3.1-pro,"Expand an idea into multiple market angles, customer segments, or strategic wedges.",opportunity-mapper,task,terminal|file|web_search|web_extract,swarm-worker-core|opportunity-mapper-core|startup-architect|blue-ocean-strategy|obviously-awesome|crossing-the-chasm|prism-discover|polymarket|jobs-to-be-done|skill-creator|canvas-design|lead-research-assistant|competitive-ads-extractor|pm-tam-sam-som|pm-ideal-customer-profile,implementation,implementation|analysis,merge|push|destructive,1,true,,,,opportunity-mapper:task
idea-prioritizer,Prioritization Coach,Custom,"Ranking ideas by leverage, effort, and strategic fit",gpt-5.5-pro,"Maintain an idea backlog and rank it using impact, feasibility, compounding potential, and personal alignment.",idea-prioritizer,task,terminal|file|web_search|web_extract,swarm-worker-core|idea-prioritizer-core|goal-tracker|prism-3way|lean-startup|startup-architect|obviously-awesome|ideation|skill-creator|internal-comms-anthropic|meeting-insights-analyzer|invoice-organizer|pm-recommendation-canvas|pm-opportunity-solution-tree,implementation,implementation|analysis,merge|push|destructive,1,true,,,,idea-prioritizer:task
assumption-logger,Assumption Logger,Custom,Assumption inventory and validation tracking,gpt-5.4-mini,"Track what each idea assumes, what has been tested, and what remains uncertain.",assumption-logger,task,terminal|file|web_search|web_extract,swarm-worker-core|assumption-logger-core|lean-startup|mom-test|continuous-discovery|design-sprint|obsidian|Idea Capture|internal-comms-anthropic|skill-creator|meeting-insights-analyzer|file-organizer|pm-ab-testing|pm-user-story,implementation,implementation|analysis,merge|push|destructive,1,true,,,,assumption-logger:task
market-reality-check,Market Reality Check,Custom,"Demand, trend, and viability validation",gemini-3.1-pro,Assess whether an idea has real market gravity or is just intellectually attractive.,market-reality-check,task,terminal|file|web_search|web_extract,swarm-worker-core|market-reality-check-core|startup-architect|polymarket|Deep Research|prism-scan|blue-ocean-strategy|crossing-the-chasm|scrapling|skill-creator|internal-comms-anthropic|lead-research-assistant|competitive-ads-extractor|pm-tam-sam-som|pm-competitor-profiling,implementation,implementation|analysis,merge|push|destructive,1,true,,,,market-reality-check:task
competitor-landscape,Competitor & Landscape Analyst,Custom,Competitive positioning and whitespace analysis,claude-sonnet-4-6,"Map incumbents, substitutes, product gaps, and pricing/positioning realities.",competitor-landscape,task,terminal|file|web_search|web_extract,swarm-worker-core|competitor-landscape-core|startup-architect|obviously-awesome|blue-ocean-strategy|prism-scan|scrapling|github-trending|reddit-digest|vibecoding-digest|skill-creator|internal-comms-anthropic|competitive-ads-extractor|lead-research-assistant|pm-competitor-profiling|pm-company-research,implementation,implementation|analysis,merge|push|destructive,1,true,,,,competitor-landscape:task
problem-solution-fit,Problem-Solution Fit Reviewer,Custom,Stress-testing whether an idea solves a painful real problem,gpt-5.5,Challenge weak premises early before time gets wasted building the wrong thing.,problem-solution-fit,task,terminal|file|web_search|web_extract,swarm-worker-core|problem-solution-fit-core|jobs-to-be-done|mom-test|prism-3way|prism-reflect|continuous-discovery|lean-startup|skill-creator|internal-comms-anthropic|lead-research-assistant|meeting-insights-analyzer|pm-product-sense|pm-customer-research,implementation,implementation|analysis,merge|push|destructive,1,true,,,,problem-solution-fit:task
startup-experiment-designer,Startup Experiment Designer,Custom,Fast validation experiment design,gpt-5.5-pro,"Design the smallest useful validation experiments for ideas, offers, and messaging.",startup-experiment-designer,task,terminal|file|web_search|web_extract,swarm-worker-core|startup-experiment-designer-core|lean-startup|design-sprint|lean-ux|cro-methodology|continuous-discovery|mom-test|spike|webapp-testing|skill-creator|domain-name-brainstormer|lead-research-assistant|pm-ab-testing|pm-recommendation-canvas,implementation,implementation|analysis,merge|push|destructive,1,true,,,,startup-experiment-designer:task
mvp-scope-cutter,MVP Scope Cutter,Custom,Ruthless scope reduction for real-world shipping,claude-sonnet-4-5,Strip ideas down to the minimum viable testable product or offer.,mvp-scope-cutter,task,terminal|file|web_search|web_extract,swarm-worker-core|mvp-scope-cutter-core|lean-startup|37signals-way|design-sprint|prism-3way|writing-plans|spike|skill-creator|frontend-design|domain-name-brainstormer|meeting-insights-analyzer|pm-user-story|pm-create-prd,implementation,implementation|analysis,merge|push|destructive,1,true,,,,mvp-scope-cutter:task
launch-plan-builder,Launch Plan Builder,Custom,"Milestones, sequencing, and go-live preparation",gpt-5.4-pro,Turn a validated concept into a staged launch plan with dependencies and checkpoints.,launch-plan-builder,task,terminal|file|web_search|web_extract,swarm-worker-core|launch-plan-builder-core|37signals-way|lean-startup|writing-plans|plan|release-it|goal-tracker|one-page-marketing|hundred-million-offers|obviously-awesome|internal-comms-anthropic|skill-creator|meeting-insights-analyzer|changelog-generator|gtm-strategy|pm-deliver-prd,implementation,implementation|analysis,merge|push|destructive,1,true,,,,launch-plan-builder:task
founder-accountability,Founder Accountability Agent,Custom,Momentum maintenance and execution pressure,claude-haiku-4-5,"Keep initiatives moving with reminders, weekly reviews, and progress visibility.",founder-accountability,task,terminal|file|web_search|web_extract,swarm-worker-core|founder-accountability-core|goal-tracker|weekly-review|life-os|communication-cadence|Idea Capture|traction-eos|internal-comms-anthropic|skill-creator|meeting-insights-analyzer|changelog-generator|gtm-metrics|pm-executive-onboarding,implementation,implementation|analysis,merge|push|destructive,1,true,,,,founder-accountability:task
comms-triage,Communications Triage Agent,Custom,Email and LinkedIn message classification,gemini-3-flash,"Process inbound communication and classify by urgency, intent, sender importance, and required action. Output a calm summary and next-action label such as reply-now, reply-later, task, archive, or monitor.",comms-triage,task,terminal|file|web_search|web_extract,swarm-worker-core|comms-triage-core|himalaya|google-workspace|agentmail|slack-digest|Idea Capture|communication-cadence|goal-tracker|humanizer|internal-comms-anthropic|skill-creator|meeting-insights-analyzer|internal-comms-composio|marketing-copywriting|pm-user-personas,implementation,implementation|analysis,merge|push|destructive,1,true,,,,comms-triage:task
draft-reply,Draft Reply Agent,Custom,Concise draft generation in your preferred voice,gpt-5.4,"Generate short, direct, low-friction replies to messages worth answering. Match Blake's preferred tone: technical, minimalist, clear, and confident. Never over-explain.",draft-reply,task,terminal|file|web_search|web_extract,swarm-worker-core|draft-reply-core|humanizer|output-formatting|google-workspace|himalaya|made-to-stick|storybrand-messaging|internal-comms-anthropic|canvas-design|meeting-insights-analyzer|content-research-writer|marketing-copywriting|pm-value-proposition,implementation,implementation|analysis,merge|push|destructive,1,true,,,,draft-reply:task
followup-nudge,Follow-Up Nudge Agent,Custom,Follow-up reminders and unresolved thread monitoring,claude-haiku-4-5,"Track important unanswered messages and keep them from dying. Generate reminders, nudges, and digest entries until a thread is closed, deferred, or converted into a task.",followup-nudge,task,terminal|file|web_search|web_extract,swarm-worker-core|followup-nudge-core|goal-tracker|Idea Capture|communication-cadence|himalaya|google-workspace|cronjob|internal-comms-anthropic|skill-creator|meeting-insights-analyzer|file-organizer|marketing-psychology|gtm-metrics,implementation,implementation|analysis,merge|push|destructive,1,true,,,,followup-nudge:task
message-to-task,Task Conversion Agent,Custom,Convert comms into discrete actionable work,gpt-5.4-mini,"Turn messages into tasks with due dates, context, and next actions. Prevent important conversations from remaining trapped in inboxes.",message-to-task,task,terminal|file|web_search|web_extract,swarm-worker-core|message-to-task-core|goal-tracker|linear|notion|airtable|obsidian|Idea Capture|communication-cadence|internal-comms-anthropic|skill-creator|meeting-insights-analyzer|file-organizer|pm-user-story|gtm-metrics,implementation,implementation|analysis,merge|push|destructive,1,true,,,,message-to-task:task
process-automation,Process & Automation Designer,Custom,Workflow diagnosis and automation design across life and business,claude-opus-4-7,"Study repeated behaviors, friction, and bottlenecks across Blake's workflows, then design high-leverage automations. Maintain an automation backlog. Prioritize by saved time, reduced stress, and strategic compounding.",process-automation,task,terminal|file|web_search|web_extract,swarm-worker-core|process-automation-core|tool-builder|webhook-subscriptions|hermes-heartbeat|hermes-tool-ops|hermes-agent|cronjob|self-improve|hermes-dojo|skill-repair|hermes-backup|skill-health|mcp-builder|skill-creator|file-organizer|changelog-generator|gtm-engineering|code-autofix|cicd-automation|incident-response,implementation,implementation|analysis,merge|push|destructive,1,true,,,,process-automation:task
veracar-operator-maintainer,VeraCar Operator-Maintainer,Custom,Operation and maintenance of the vehicle analyzer application,gpt-5.4,"Operate VeraCar correctly, maintain its health, surface bugs or friction, and ensure the app remains the source of truth for vehicle evaluation, negotiation, inspection prep, and fleet management.",veracar-operator-maintainer,task,terminal|file|web_search|web_extract,swarm-worker-core|veracar-operator-maintainer-core|veracar-multisource-scraper|fb-marketplace-stealth-scraper|hermes-tool-ops|incident-commander|multi-tier-ai-extraction|systematic-debugging|hermes-heartbeat|hermes-backup|webapp-testing|mcp-builder|file-organizer|changelog-generator|code-autofix|pm-create-prd,implementation,implementation|analysis,merge|push|destructive,1,true,,,,veracar-operator-maintainer:task
